date,PET_mm_day,year,month,PET_mm_month,precip_mm,temp_c,wind_u,wind_v,solar_rad,balance_mm
1981-01-01,0.14640183769148649,1981,1,4.538456968436081,17.32096725273267,13.820871126077122,0.08528106835964734,-0.13706956061739975,12.716649392449135,12.782510284296592
1981-02-01,0.1752144318946064,1981,2,4.906004093048979,21.01720541201073,14.04686115834744,-0.12630356799115194,0.013116224664765518,12.303849628767269,16.111201318961747
1981-03-01,0.12059150266702467,1981,3,3.738336582677765,19.20310888015994,14.44155411067078,0.12455193940138688,-0.13754477909218046,12.726321083974813,15.464772297482178
1981-04-01,0.15065483336511382,1981,4,4.519645000953415,17.264961982446653,14.619947948918707,0.05959378506981405,-0.07882572234669134,13.345170015232291,12.74531698149324
1981-05-01,0.15201483921975117,1981,5,4.712460015812287,17.05503949559398,14.4247256070949,-0.04720819187091668,-0.07688485793976077,12.216820721793058,12.342579479781694
1981-06-01,0.21749209853789997,1981,6,6.524762956136999,15.047480274365297,14.041073251125908,-0.3533229837219417,0.10100751322120698,12.246313047546513,8.522717318228299
1981-07-01,0.30489062207208745,1981,7,9.451609284234712,18.780503517368995,13.241017405385719,-0.5981736455541118,0.2746147503986177,12.989906125775212,9.328894233134283
1981-08-01,0.31137477733504093,1981,8,9.652618097386268,13.058406626211747,13.684380959079306,-0.38496279620512075,0.1454505246996348,13.98161127167882,3.405788528825479
1981-09-01,0.3826262527838735,1981,9,11.478787583516205,18.973963943746238,14.049819195219925,-0.45730683240910225,0.18465132646391536,14.882096271128002,7.495176360230033
1981-10-01,0.22344395182643492,1981,10,6.9267625066194825,15.7635635234347,14.311634309179624,-0.0464906138417096,-0.08214533179852486,13.614905516238288,8.836801016815217
1981-11-01,0.11963134393516389,1981,11,3.5889403180549166,16.109231593492932,14.042418074895693,0.27602128097456147,-0.2550316623732984,11.943708378196058,12.520291275438016
1981-12-01,0.1608271235217571,1981,12,4.98564082917447,20.029448071279685,14.143043757299438,-0.06386932368481356,-0.07367577457853397,12.570277388532258,15.043807242105215
1982-01-01,0.10849383772648939,1982,1,3.3633089695211713,21.397294950449613,13.747524481200628,0.16291190008255382,-0.15068022437744674,11.46747506364922,18.033985980928442
1982-02-01,0.1320680325550715,1982,2,3.6979049115420017,23.021946719046507,14.005673448207574,0.03263193229481883,-0.06488448555873402,12.020662173865738,19.324041807504507
1982-03-01,0.13121464737553765,1982,3,4.067654068641667,16.276810326981572,14.267988856538409,-0.0028582090341075627,-0.024670517570421754,12.045355418636436,12.209156258339906
1982-04-01,0.1438933455795806,1982,4,4.316800367387418,21.672929563876355,14.341387566574952,-0.0938304640265988,-0.02477961641804927,12.076202938309217,17.356129196488936
1982-05-01,0.19051901268738863,1982,5,5.906089393309047,25.023778451274122,14.33241748380243,-0.30037814988987244,0.09764995176506018,12.206828398868458,19.117689057965073
1982-06-01,0.2918560475036301,1982,6,8.755681425108902,21.801741474668695,13.984743127790694,-0.6083268303695276,0.28922554842471915,12.757393345881841,13.046060049559793
1982-07-01,0.3181760851253729,1982,7,9.86345863888656,22.987622125092663,13.396464337525344,-0.7003960066243231,0.3669624636785702,12.731710078119898,13.124163486206104
1982-08-01,0.40420632795947725,1982,8,12.530396166743795,19.068219967266145,13.562360453883286,-0.7513907236135147,0.3730334640003213,14.389783842672179,6.53782380052235
1982-09-01,0.3026667732641317,1982,9,9.08000319792395,23.49938312940016,14.038700998352112,-0.4193334005665252,0.1329099688147606,13.623363102194489,14.419379931476211
1982-10-01,0.1837743810903117,1982,10,5.697005813799662,26.307718164202154,13.923483258437102,-0.19211544522055213,0.018681020345512528,12.618812332914416,20.61071235040249
1982-11-01,0.13516835018596002,1982,11,4.055050505578801,20.259258532721816,14.077089762467267,-0.09885249720500687,-0.005234493678548131,12.31779486606463,16.204208027143014
1982-12-01,0.12846645209389596,1982,12,3.9824600149107745,21.955192972958553,14.284069935119305,-0.13844715058641427,0.02544655289876684,11.557758938309213,17.97273295804778
1983-01-01,0.18617281293104404,1983,1,5.771357200862365,20.81890879544248,15.038217832141811,-0.22840153739081667,0.09879895738309698,13.17168328234142,15.047551594580113
1983-02-01,0.2173246903731418,1983,2,6.085091330447971,19.898750170334882,15.08533944810722,-0.2997517503263797,0.09749113152821166,14.161168633228156,13.813658839886912
1983-03-01,0.15336461284009192,1983,3,4.754302998042849,21.391481458220603,15.210789129983254,-0.14672776355977912,0.021469130945107134,13.054092928517028,16.637178460177754
1983-04-01,0.1679224027283461,1983,4,5.037672081850383,19.72221776658127,15.106441654441426,-0.2419542724141202,0.10384186836104049,12.621314764008272,14.684545684730887
1983-05-01,0.19910716792330582,1983,5,6.17232220562248,20.843187254910845,15.027570946080914,-0.3663517473934913,0.16602891210813983,12.800544315308455,14.670865049288365
1983-06-01,0.2661020109465801,1983,6,7.983060328397403,21.871438774849466,14.366223044587855,-0.6138558542880174,0.32029581791090506,12.64211413252094,13.888378446452062
1983-07-01,0.36501502276558345,1983,7,11.315465705733088,24.45734778127967,14.09761289684343,-0.7018905674304864,0.3146362421938286,13.52034844587096,13.141882075546581
1983-08-01,0.36187147320134166,1983,8,11.218015669241591,32.37924812627594,14.063173995870386,-0.6227664726497221,0.2551404280419215,13.21605643303231,21.161232457034348
1983-09-01,0.3879708985188953,1983,9,11.63912695556686,25.175317126010228,14.245835626606492,-0.4637566163767904,0.13232619022339914,14.38731542222818,13.536190170443367
1983-10-01,0.1820797519411594,1983,10,5.644472310175942,24.89202876233499,14.193949699049142,-0.05646250154829143,-0.0852514424063075,12.774606698156651,19.24755645215905
