date,precip_mm,year,month,temp_c,wind_u,wind_v,solar_rad
2020-09-16 00:00:00,21.593212,2020,9,18.212708,-3.2313313,-0.59769857,448.75791
2020-10-16 12:00:00,32.48768,2020,10,17.31018,-1.9986436,-0.31530207,328.514626
2020-11-16 00:00:00,34.278774,2020,11,17.102875,-1.8466406,0.61047167,299.08686
2020-12-16 12:00:00,22.740427,2020,12,17.23413,-5.024245,1.0810487,340.713994
2021-01-16 12:00:00,18.239748,2021,1,17.683441,-7.7583666,1.7281965,437.33529
2021-02-15 00:00:00,11.153592,2021,2,18.104492,-7.129715,1.3293692,501.801664
2021-03-16 12:00:00,17.73029,2021,3,18.409637,-3.846156,1.4837457,451.446087
2021-04-16 00:00:00,31.478271,2021,4,18.03775,-3.9304912,0.45139074,367.87434
2021-05-16 12:00:00,24.239182,2021,5,18.048615,-4.4985256,0.5751933,395.943532
2021-06-16 00:00:00,17.563494,2021,6,17.825409,-5.759309,0.7778161,448.01721
2021-07-16 12:00:00,13.321751,2021,7,18.174957,-7.1593347,-0.107209854,486.911358
2021-08-16 12:00:00,15.617015,2021,8,18.448914,-5.5641503,-0.30206212,471.564622
2021-09-16 00:00:00,33.939457,2021,9,18.0542,-3.742185,-0.99462116,369.13443
2021-10-16 12:00:00,33.302223,2021,10,17.688904,-1.8254057,0.39582953,345.863404
2021-11-16 00:00:00,27.229595,2021,11,17.730164,-3.2987347,0.06415655,343.11312
2021-12-16 12:00:00,26.025576,2021,12,18.133026,-5.622668,1.0536404,375.937
2022-01-16 12:00:00,8.826482,2022,1,18.866608,-6.490111,2.8501234,571.886698
2022-02-15 00:00:00,10.512874,2022,2,19.196136,-6.760786,1.19104,549.188528
2022-03-16 12:00:00,23.834167,2022,3,19.236298,-4.809973,0.81077075,401.470398
2022-04-16 00:00:00,45.227375,2022,4,19.073822,-2.9344714,0.34261551,333.38379
2022-05-16 12:00:00,37.325394,2022,5,18.499847,-1.9946735,0.48817855,327.725831
2022-06-16 00:00:00,21.895374,2022,6,18.708252,-4.748422,-0.42560235,432.54009
2022-07-16 12:00:00,16.753088,2022,7,17.903412,-5.644191,-0.68041945,470.98796
2022-08-16 12:00:00,10.541455,2022,8,18.276886,-5.4774647,-0.63529044,521.430974
2022-09-16 00:00:00,29.579203,2022,9,18.322906,-3.2890203,0.19351836,400.15467
2022-10-16 12:00:00,33.623344,2022,10,17.278748,-4.202094,0.16673447,324.540085
2022-11-16 00:00:00,34.10918,2022,11,17.406586,-3.7238414,-0.051359866,309.25176
